0,0,0,0
100000,65,58,166.0964047444
200000,127,140,352.1928094887
300000,219,258,545.8380892547
400000,315,377,744.3856189775
500000,426,529,946.5784284662
600000,544,681,1151.6761785095
700000,650,793,1359.1896777546
800000,776,945,1568.771237955
900000,922,1134,1780.1608928291
1000000,1035,1253,1993.1568569324
1100000,1214,1432,2207.5979302382
1200000,1354,1666,2423.352357019
1300000,1518,1847,2640.3104250351
1400000,1659,2032,2858.3793555092
1500000,1811,2213,3077.4796605068
1600000,1993,2439,3297.5424759099
1700000,2144,2624,3518.5075636668
1800000,2300,2805,3740.3217856583
1900000,2592,3244,3962.9379176973
2000000,2723,3356,4186.3137138648
2100000,2864,3124,4410.4111584153
2200000,2918,3524,4635.1958604763
2300000,3120,3762,4860.6365590136
2400000,3385,4053,5086.7047140379
2500000,3616,3792,5313.3741660529
2600000,3704,4236,5540.6208500703
2700000,3742,4180,5768.4225536821
2800000,4019,4596,5996.7587110184
2900000,4154,4704,6225.6102261737
3000000,4456,4950,6454.9593210136
3100000,4542,5113,6684.7894032954
3200000,4778,5369,6915.0849518198
3300000,4997,5504,7145.8314159524
3400000,5159,5991,7377.0151273336
3500000,5473,5953,7608.6232219836
3600000,5647,6275,7840.6435713165
3700000,5983,6360,8073.0647208243
3800000,6001,6602,8305.8758353946
3900000,5919,6558,8539.0666503866
4000000,6325,7242,8772.6274277297
4100000,6629,7499,9006.5489164125
4200000,6840,7831,9240.8223168305
4300000,7034,7615,9475.4392485297
4400000,7199,7782,9710.3917209526
4500000,7340,8183,9945.6721068449
4600000,7556,8423,10181.2731180272
4700000,7661,8655,10417.1877832738
4800000,8090,8962,10653.4094280758
4900000,8422,9203,10889.9316560905
5000000,8401,9258,11126.7483321058
