0,0,0,0
100000,32,27,166.0964047444
200000,64,66,352.1928094887
300000,109,128,545.8380892547
400000,166,203,744.3856189775
500000,224,283,946.5784284662
600000,292,365,1151.6761785095
700000,358,457,1359.1896777546
800000,439,565,1568.771237955
900000,505,641,1780.1608928291
1000000,576,719,1993.1568569324
1100000,676,777,2207.5979302382
1200000,743,924,2423.352357019
1300000,846,1032,2640.3104250351
1400000,914,1130,2858.3793555092
1500000,1009,1238,3077.4796605068
1600000,1106,1343,3297.5424759099
1700000,1221,1484,3518.5075636668
1800000,1341,1622,3740.3217856583
1900000,1393,1670,3962.9379176973
2000000,1481,1790,4186.3137138648
2100000,1659,1650,4410.4111584153
2200000,1726,2084,4635.1958604763
2300000,1850,2208,4860.6365590136
2400000,1835,2221,5086.7047140379
2500000,2149,1887,5313.3741660529
2600000,2008,1970,5540.6208500703
2700000,2185,2083,5768.4225536821
2800000,2257,2148,5996.7587110184
2900000,2315,2203,6225.6102261737
3000000,2509,2410,6454.9593210136
3100000,2654,2472,6684.7894032954
3200000,2717,2588,6915.0849518198
3300000,2759,2603,7145.8314159524
3400000,2734,2667,7377.0151273336
3500000,3038,2802,7608.6232219836
3600000,3100,2903,7840.6435713165
3700000,3177,3067,8073.0647208243
3800000,3400,3341,8305.8758353946
3900000,3539,3393,8539.0666503866
4000000,3632,3445,8772.6274277297
4100000,3617,3379,9006.5489164125
4200000,3833,3804,9240.8223168305
4300000,4000,3661,9475.4392485297
4400000,3983,3787,9710.3917209526
4500000,4130,3879,9945.6721068449
4600000,4330,4075,10181.2731180272
4700000,4292,4043,10417.1877832738
4800000,4519,4292,10653.4094280758
4900000,4616,4325,10889.9316560905
5000000,4632,4350,11126.7483321058
